logFC	logCPM	F	PValue	FDR
LRP2	-5.61532040350931	7.06891259785209	82.2655504740275	1.78581730085775e-10	1.4575840809601e-06
PLEKHG2	-7.55043929108969	5.55130906135765	61.957443520892	4.53938568370202e-09	1.85252329751879e-05
SLC13A3	-5.37375972316947	6.86034436069356	61.0414347791026	1.18083278034118e-08	2.2324514447742e-05
CLDN10	-5.24763863759642	6.05159007768356	55.2631773241357	1.54350513702519e-08	2.2324514447742e-05
CNTNAP3B	-5.20950520168712	6.3661759725505	55.1891528071762	1.56535833465607e-08	2.2324514447742e-05
CUBN	-4.56907547248077	6.45194079888489	53.7070707864247	2.07959256882177e-08	2.2324514447742e-05
SLC34A1	-9.10684401712219	5.30934572481913	55.6773437575986	2.11443929622673e-08	2.2324514447742e-05
SPP1	-4.17149923883012	7.46016527929768	53.4443111528498	2.18814157782327e-08	2.2324514447742e-05
SLC28A1	-6.51241462236895	5.30348784563817	45.4107120441622	1.12530432275827e-07	0.000102052598692811
ST8SIA6	-3.90102224930327	6.72681794459691	42.9038715849292	1.94392090390894e-07	0.000148046331335794
TINAG	-6.44126056775016	5.23619364119858	42.7864847455728	1.99523357595409e-07	0.000148046331335794
ADAMTS9-AS1	-5.41177769579367	5.76480445390052	45.0138470045612	2.44251314837397e-07	0.000162554754926553
AC087762.1	-6.04076185562226	5.66343063191004	45.6292190268795	2.58908578050134e-07	0.000162554754926553
C3	-5.65147233312438	4.55741462839933	38.0531526591733	5.91668464821085e-07	0.000344942714990693
AL136962.1	-5.226323859065	4.93871432700017	37.4195734925518	6.88242965077843e-07	0.000374495938731024
ANPEP	-5.10560868251569	5.08555760232253	35.6187213277802	1.06611206765814e-06	0.00054385041851411
SLC17A1	-9.55455247831753	5.70945076727939	55.7590188272293	1.30252681249577e-06	0.000625366108446498
AC096577.1	-5.63924323646864	5.14936065939321	33.4545432059381	1.83332353495655e-06	0.000831310371795296
SLC13A1	-6.07791053375578	5.09265801356329	33.1787379040632	2.31929248848424e-06	0.000996319225842547
SLC5A12	-6.39294298868093	5.18089048949372	34.7125844777416	2.689095605016e-06	0.00101323891178808
ACSM2A	-6.84434953481986	6.05923620982966	46.4188290119855	2.72758121922427e-06	0.00101323891178808
FHL2	4.27981029503171	4.90801011520993	31.9091772604848	2.73110218810804e-06	0.00101323891178808
GDA	-5.11273796162002	6.01105697849516	36.1989891844652	3.93283939286709e-06	0.00139564500541657
AGXT2	-5.45095745613876	4.52644817496651	30.3470782778875	4.12841151173355e-06	0.00140400394828205
SLC7A8	-4.28043980349171	4.58873468142903	30.0304838932193	4.49491228990562e-06	0.00142989806698635
AC079298.3	-4.32783595884286	5.24599711073279	29.9142143897626	4.63805768724035e-06	0.00142989806698635
IGKC	8.01556832884003	4.13736311904612	30.1946068846684	4.73012102531628e-06	0.00142989806698635
AC007952.4	-4.4591835081777	4.72786075273104	28.6566371000897	6.53617417276713e-06	0.00190529477136162
SLC47A2	-4.82625601194486	5.03909629760295	28.621738026694	7.92314384765429e-06	0.00222995517532946
MIOX	-7.63344619187844	3.98721265011456	28.3033110923534	8.62056152498443e-06	0.00234536743889743
SLC5A2	-5.27495578752106	4.18895856959259	27.1874453229294	9.85207217404128e-06	0.00254094073615241
COL27A1	-4.25699999061404	4.73428886314505	27.1482264132741	9.96203180064653e-06	0.00254094073615241
GPX3	-3.9335082515873	5.19018616223152	26.8222036066192	1.09282170894029e-05	0.00263681264938403
TUFT1	3.06479239488369	7.20592216388778	29.7380290301758	1.09840272089019e-05	0.00263681264938403
HSD17B14	-4.83609078876359	4.2505440442505	26.5395560169746	1.18465562017944e-05	0.00276261690625845
LINC00871	-3.69008586067599	5.29796149572592	25.4255947059174	1.63477383804338e-05	0.00370639557391946
ESRRB	-4.44120613810661	4.86919385278513	25.1636524884781	1.87887271247932e-05	0.00414469164304223
AL589669.1	-4.69944198176705	4.92709034207147	26.3442094171259	1.97323262417702e-05	0.00423829596803496
AC092422.1	-2.23654077609272	8.38043769648331	24.3373837523711	2.25363726838549e-05	0.00460261966411689
FTCD	-3.83565943103563	4.82595192420801	24.2210486738391	2.3332314298595e-05	0.00460261966411689
NR4A3	3.8394447388402	5.15477322371499	24.183600604537	2.35948428120122e-05	0.00460261966411689
RUNX1	3.142626145035	7.00896764474075	26.9662074967101	2.37622174129335e-05	0.00460261966411689
LINC01230	-2.64414627468097	6.73156339072956	24.0787137943356	2.43470045320703e-05	0.00460261966411689
DRD2	-5.14458340526842	4.07622325265972	24.0155852725658	2.48119658442959e-05	0.00460261966411689
AC010333.2	-2.50884050167144	7.59003831555007	24.7689238980603	2.66253982013115e-05	0.00482925555820232
ABLIM3	-7.4987113476464	3.84184100604563	23.9718169079052	2.90411299246162e-05	0.00515290657488516
NRCAM	2.77103605599629	6.69835845541449	23.5934492565282	3.12780729239121e-05	0.00543173683414831
NKAIN4	-5.132355948404	4.05669217038291	22.9240548807148	3.45375711342223e-05	0.00576745621047738
PTH1R	-4.32361392757313	5.31651224001908	24.9022562832753	3.46245227044097e-05	0.00576745621047738
FRMD4B	-3.15554737565539	6.06630574635471	24.2663046950798	3.84565578870707e-05	0.0061807530581638
SLC4A4	-3.19102072125284	5.85956763535082	23.0629697096242	3.86202408682129e-05	0.0061807530581638
DPYS	-4.30834188056504	4.56895554043456	22.6872576969175	4.25045527179475e-05	0.00642765449038328
NCKAP5	-2.05816897820655	7.73820118998179	22.2354994269379	4.27041627251842e-05	0.00642765449038328
ZFP36	2.40976165400987	6.53507053833046	22.203830423149	4.31260670311398e-05	0.00642765449038328
NR1H4	-3.98013934927738	4.86689323785086	22.1652156910798	4.36465115802964e-05	0.00642765449038328
ERRFI1	2.88393619003608	6.34818326525976	22.922933807146	4.41005453885645e-05	0.00642765449038328
CHL1-AS1	4.1530414430358	4.22396781120379	21.8477844259086	4.81866728353888e-05	0.0068925189240988
SYNDIG1	-3.92230493251056	4.42833851857544	21.795665191934	4.89789386912191e-05	0.0068925189240988
ITGB6	2.37773632108228	6.4397224734597	21.3560424595825	5.62398187198471e-05	0.00778015932866766
CARS	-2.25401999950835	7.16685000301688	21.0634361017008	6.17017435331165e-05	0.00839349384528828
ZBTB20-AS2	2.42154784945845	5.8803845634267	20.9298564061306	6.4380353178774e-05	0.00854161640948789
RASSF4	-2.51380266936582	6.07836551484932	20.9054189539841	6.48836335932675e-05	0.00854161640948789
TRIM50	-7.31279832375881	3.70073474830716	20.744568607986	7.69117825046529e-05	0.00996434871115836
LINC01060	-3.83061999266432	5.31180157734434	20.838089078372	7.97579499114739e-05	0.0101716310496477
PTP4A3	-3.103558732338	5.27093509629154	19.4837689175236	0.000102762185928248	0.0123859266167459
PHF21B	-3.1436818485757	5.03288627714813	19.4675504099829	0.000103310840156562	0.0123859266167459
PRAG1	2.37435124704296	6.03648462145474	19.4618328084954	0.000103505002916931	0.0123859266167459
LINC01252	-3.99247626923291	4.12126921297578	19.4504522187861	0.000103892630719455	0.0123859266167459
AC005258.1	-4.16669311588608	4.21822660873328	19.426652153216	0.000104708274510594	0.0123859266167459
AC244131.2	-2.94662480965326	5.59934828634044	18.5581571252886	0.000139669306932334	0.0162854411883102
ANXA2	3.18388904599097	5.27621736681624	18.5251957927165	0.000143219280193432	0.0164641657033633
PRUNE2	-3.28632130447906	5.25094582587339	18.1336271083463	0.000163172022775145	0.018497361804038
GPC5	-4.22077650356371	6.91960976882977	27.017061890542	0.00016656683158552	0.0186235408137125
BBOX1	-2.89238059003554	5.55802821391113	17.9441848803739	0.000171783213600208	0.0186905773272883
KRT19	3.0725596680824	4.45756961000377	17.9360922047448	0.000172255662167851	0.0186905773272883
FYB1	-2.54902978249915	5.9103757084875	17.9334666874231	0.000175558777159154	0.0186905773272883
AC025259.3	3.37110113415856	4.28248421810904	17.8427376767711	0.000177806847722037	0.0186905773272883
LDLR	-2.21404850244433	8.31085047882823	19.1917684408497	0.000180875882221013	0.0186905773272883
AC113414.1	-1.95418763109276	7.90993400454418	17.8310976998821	0.000180906102530725	0.0186905773272883
PCDH7	2.69341915515924	5.81880222971692	18.545335487229	0.000183917659470645	0.0187641992074926
LINC02532	-2.21750146356026	6.67355492554988	17.5880205591753	0.000193944962675744	0.0195429479674003
RARB	-1.90234100394666	7.90167898397305	17.527114487549	0.000198030420259054	0.0197112718311512
VCL	2.31399025132266	9.5331626986156	18.2124872580152	0.000214627190083761	0.0211058689814899
LINC00486	-2.00333880169087	7.59039449581426	17.2254372436065	0.000219663056790316	0.0213439270181257
AC004053.1	-4.39220993964695	3.88943770837229	17.0723879526016	0.000231588228219489	0.0222379190438526
IER3	2.26710626571109	6.54079868117349	17.0211688560045	0.00023972727801806	0.0227517911998071
SLC47A1	-3.22026705582487	5.21403979695474	17.1077174206501	0.000247659208771577	0.0232344191033748
AC002429.2	2.20432834178135	6.15153800614697	16.6888110145081	0.000264611811715059	0.0245427455365718
ACSS2	-2.94225782148032	6.75148729949088	20.3375609725831	0.000270913621868928	0.0248449099066763
ROR1	-2.90000578655486	4.9335121099629	16.3292331514253	0.000300153113620945	0.0270373205749082
RPL34-AS1	-2.83011424906026	4.52191607101454	16.317029267311	0.000301445255123333	0.0270373205749082
LRRN3	3.12755710105569	4.30431989439879	16.0907397815382	0.000326510380403044	0.028695323480411
SPTBN2	-1.91913749712808	7.16727337006362	16.086832968092	0.000326962151884124	0.028695323480411
ZBTB20-AS5	1.74780446113492	8.12578199444453	15.9801192935688	0.00033956342818499	0.0294842202217647
FLVCR2	-2.3317892335033	6.24682803038938	15.9433124843734	0.000344028996642176	0.029557522848352
SORCS2	-3.25110220319453	4.17736203852565	15.6830912055094	0.000377442584432086	0.032090483063903
RGL1	-2.88157925202397	4.69061874717412	15.640770590165	0.000383196199916549	0.0322437874610193
TPM4	2.57344292589799	4.90457166515668	15.5365261709093	0.000397771148485809	0.0331286542238895
OLMALINC	-2.20138429091708	6.38095894270814	15.7809577767591	0.000405125242605883	0.0334003255570628
TMEM120B	-1.84417058868317	7.05389285788202	15.4032576769218	0.000417270504966576	0.034057618615372
ANXA3	2.26099723223405	5.83379901475166	15.3435893954908	0.000471883489890166	0.0380488822539139
LGALS3	2.03709651519259	7.30639371136463	15.6705460988634	0.000475494485407893	0.0380488822539139
STK32B	-3.09293628623879	5.17373448465831	14.9585798396015	0.000506751422515366	0.0400705652275603
AC020916.1	2.86740065804197	4.29280125218262	14.8459170634867	0.000510578140610913	0.0400705652275603
AL157938.2	2.19700257978642	6.72667200632131	15.3332797752412	0.000532975293156946	0.0414299461213999
AC005699.1	-2.58796492056606	5.47512369748089	14.6194623984541	0.000554641530199396	0.0427073978253535
ARRDC4	3.03771003200663	6.64833202083231	18.7700199749325	0.000559973919348706	0.0427150199039639
GPR132	2.26854888317328	5.60091281922507	14.4776373092625	0.00058429078470526	0.0441572350441142
CTGF	2.58735938835588	5.19402956303773	14.3272178470622	0.000617593381473611	0.04624584568429
RALYL	-2.09068843293631	5.84532469848147	14.2889949608068	0.000626374704637432	0.0464770030840974
ADAMTS9	-2.49085130892264	5.4697052814837	14.2630245237684	0.00063241710594984	0.0465025983672306
TMSB4X	2.01319693752358	6.18120960200562	14.2198446928603	0.00064260162316462	0.0468295932881217
AC009554.1	1.97689407762441	5.8838836939516	14.1672095602073	0.000655253565564349	0.0473290230277541
NOX4	-1.9777911671168	6.533483610495	14.0927131666802	0.000673616681431899	0.0482285908232207
BHLHE40	1.90289983236937	8.13302911231706	14.5727241494412	0.000696402733583726	0.0487635835786479
PLCB1	-2.50264905057637	6.91921300123503	16.0898772123047	0.000702870919545643	0.0487635835786479
AC100763.1	2.41256181731015	4.6338876048055	13.9752493593963	0.000703695755376027	0.0487635835786479
ABR	-2.01930647233062	7.63704684549854	14.864114578182	0.000704986873594763	0.0487635835786479
COL10A1	2.13411285409068	5.58075285981708	13.9442311505656	0.000711875649743733	0.0488262945647761
APOE	-2.08840506100463	5.6847655691176	13.8678369189179	0.000732457682141235	0.0497330822924863
ASB5	-3.05792034411282	4.1439083912651	13.850258722528	0.000737282891128503	0.0497330822924863
ERCC1	-2.10703318456491	6.63815054454339	14.0230872276607	0.000773543643442993	0.0517513378506697
AC010333.1	-2.60909441861996	4.41604841292025	13.6996435729917	0.000780044807558633	0.0517619977178338
PTPRD	-2.2485397372597	5.62696299333856	13.6651594645652	0.000790203117050909	0.0517886814182235
KRT18	2.10842090054852	5.62313422758035	13.6552875259917	0.000793137120470221	0.0517886814182235
CRYBG1	1.93519828134681	5.83592588607607	13.4638574591696	0.000852392011187121	0.0552160602802324
MIR181A2HG	2.01328223835753	5.71562348340738	13.4330327070688	0.000862367278643278	0.05532583510738
MAL2-AS1	3.25443229461228	4.01736410737199	13.41688189304	0.000867643579238501	0.05532583510738
ENPEP	-3.87140416126273	6.0948070468083	19.5745733023511	0.000875881970870488	0.0554182065600382
SMIM2-AS1	-3.3179802298264	5.27278623950252	13.9627916170912	0.00088362208440127	0.0554778727144859
EMCN	-2.9688187174597	5.12656036023199	14.0376652736212	0.000919271335695664	0.0572755163507482
DCC	-2.49209990540395	4.93310159863538	13.1995489114325	0.00094209732107187	0.0575470892792743
AC104779.1	4.83308159172381	3.59829009192592	13.1913804283172	0.00094502545785443	0.0575470892792743
AC138123.1	-2.62878840460556	4.42225592988087	13.1875509407647	0.0009464015502794	0.0575470892792743
CASR	-4.74014827631697	5.15867760080141	17.0384929105089	0.000951832522997064	0.0575470892792743
ST8SIA6-AS1	-3.34794855254807	3.96487874449168	13.1102511520714	0.00097464105805968	0.058492796440317
SREBF2	-1.7440016001525	9.0809203537201	13.3010537285714	0.000984433292326534	0.0586492301603589
PRKCA-AS1	2.17495989911058	5.57050249171443	12.9340972200153	0.00104241269411624	0.0616534232563533
TMEM38A	-1.86358483913553	6.46992615028229	12.9113882092974	0.00105150935691499	0.0617440242528066
AC024145.1	1.75522661753901	6.99876564319859	12.863381429351	0.00107101999640113	0.0624404657901857
AL391987.2	-2.77641446117205	4.22027287361661	12.7876869236879	0.00110257317049797	0.0632088880385808
ABCG1	-1.89110680517397	5.93501088017545	12.7824618406853	0.00110478758144339	0.0632088880385808
RASSF8-AS1	-2.35666132411422	4.83294170722306	12.7762335895601	0.00110743334838484	0.0632088880385808
CACNA1E	-3.23395715069667	4.00695662579385	12.733679040959	0.00112569269343602	0.0638048872487833
PSMG4	-1.79785493911789	6.81490339164266	12.6859354978766	0.00114656215440209	0.0645395883050335
ACOT11	-2.13671993108869	5.61295770868204	12.5941236110732	0.00118786552720892	0.0662323580781872
MARCH1	3.69552833328683	6.87860630526848	19.2114245433841	0.00119286408202567	0.0662323580781872
AL365394.1	2.06879855828921	6.22403210469337	12.9189648215706	0.00123075218322451	0.0678743197262057
GRIN2A	2.46110344222052	4.95435725650448	12.3791656433863	0.00129091848335519	0.0707146084640609
SLC17A3	-5.37984594342312	3.84326573807503	12.9553629632958	0.00134060847651332	0.0729469759020114
GHR	-2.50507805517909	4.67657271204158	12.2579927533029	0.00135318717586781	0.0731437995326692
KATNAL2	-1.86023968864222	6.75172353171411	12.2169748504354	0.00140342781886756	0.0746925923028515
RNF213	-1.50332054300589	8.47179354300168	12.1384702150559	0.00141776292698732	0.0746925923028515
LY86	1.938046959522	5.97322202460421	12.1860106320921	0.00141857200763392	0.0746925923028515
SUGCT	-2.37359221814805	5.15699151760968	12.1244041061717	0.00142557656071309	0.0746925923028515
ACSF2	-2.44582796415252	4.93322914809681	12.1207808290532	0.00142759671639853	0.0746925923028515
ENOX1	-2.11595052392917	5.95716735472962	12.5911685660375	0.00143949972356292	0.0748356480491756
AC068599.1	2.37704830425936	6.10707395108576	13.5236522224747	0.00145564731545064	0.0749270430604481
POLG2	-2.17719431872986	5.44892586823778	12.055144519433	0.00146472708423993	0.0749270430604481
AC104041.1	-2.26300529738947	5.57807191810232	12.0480572026015	0.00146879770762946	0.0749270430604481
VAV3	1.66643008409795	8.84621229162699	11.99750423535	0.00149818616548759	0.0755858047775386
EGF	-1.73174944510621	6.83886106411192	11.9922782165145	0.00150125992504376	0.0755858047775386
FOXI1	2.03795621528643	6.17736488898596	12.4456137566228	0.0015094935283924	0.0755858047775386
NRP1	-2.53218597862234	6.65691465042742	13.647359145126	0.00153553916800376	0.0759214360443676
ABCC6	-2.60845075195426	4.3268537432552	11.9114749678468	0.00154965360831861	0.0759214360443676
TNFRSF12A	2.1408733026489	5.57561452659351	11.9324659538438	0.00155235113421898	0.0759214360443676
ACTB	1.63580505243666	7.42995921165042	11.9307353196315	0.00155340355542874	0.0759214360443676
CGNL1	-1.64115413858691	9.88523420435149	11.8924686609873	0.00157687016896597	0.0766096090422632
SLC16A9	-3.74125572646713	4.09215100962428	12.2120350898669	0.00159177541931729	0.0768761596004005
AC008056.2	2.49982915837615	4.77218412126411	11.9157464529334	0.00160395599001996	0.0770087575914291
AL627171.2	-4.6649489985089	5.49353536634594	15.9127561441803	0.00165552134629867	0.0789863002699474
AC092140.1	2.38721272807576	4.89620208182547	11.7300442228532	0.00166449934408612	0.0789863002699474
GRAMD1B	-2.56243619599	4.36173606029371	11.6713839802031	0.00170355252449387	0.080372229508202
LINC01739	-2.29514701190891	5.38463060277724	11.5993854610561	0.00175283039328481	0.0822218486781068
AC015923.1	1.81034176255677	6.31601934683769	11.567452553777	0.00177517236938615	0.0827940393081699
DGKI	1.44904746030525	7.69248847257616	11.5182939938183	0.00181016394036536	0.0839463527344435
GPRC5A	1.66340191426716	6.85154283732879	11.4736691560595	0.00184256781012193	0.084571348163197
BMP5	-2.9198898164627	4.09903100572045	11.4638948078803	0.00184974787803466	0.084571348163197
MYL12A	2.15711751972914	5.23643354983238	11.4571421866273	0.001854725719335	0.084571348163197
AC107021.1	1.9837287297187	5.86568085620105	11.5904979639213	0.00186852992730191	0.0847274514813232
SEMA3F-AS1	-3.58607382271721	5.92163394935729	16.4065633321086	0.00190346424430848	0.0858346694035682
NINL	-1.52830950602441	7.66083670341713	11.3662434966779	0.00192314705328506	0.0862457486203993
AC023051.1	1.73772582375676	6.88591288634758	11.3330831583317	0.00196218196395663	0.0868128862488841
RTN1	-2.11592259435809	5.63266580331423	11.3021102812544	0.00197304413289177	0.0868128862488841
LINC01362	2.25253061414054	5.06614715560593	11.2780023941099	0.00199215736225658	0.0868128862488841
PDE5A	1.65777506772771	6.70150188246623	11.2655193506271	0.00200213195922036	0.0868128862488841
SEMA4D	-1.64835558400733	6.59376103991957	11.2644009470262	0.00200302822688122	0.0868128862488841
RGN	-2.55708988565258	5.10203065372256	11.2804406063498	0.0020038105458146	0.0868128862488841
AL359706.1	2.12502081805634	5.26844792582902	11.2523833194101	0.00201268607175784	0.0868128862488841
AC098850.3	-2.43848911851184	5.21144233104821	11.2422316850845	0.00202088316433325	0.0868128862488841
ZBTB20-AS1	1.85383368651844	5.67903358978564	11.2063802587468	0.0020501190738681	0.0876077061827825
AL590006.1	2.37320631069461	4.35261142584215	11.1561482797824	0.00209184592275434	0.0889252417787548
DUSP1	1.68354606916354	6.63444783733839	11.1042928666402	0.00213587657691569	0.0903265524393051
LAMA2	-1.4754404843886	8.56689728532138	11.0665640492889	0.00216853537141878	0.0912349778428869
AC010261.2	2.84854040102939	4.03988879126205	11.05256194685	0.00218079153211507	0.0912801050519138
AC027698.1	2.1836210182124	5.12390404885065	11.0384474695832	0.00219322114062393	0.0913319946416965
LINC01781	-3.52783828233234	4.1167698652575	11.3965036944385	0.00222981723747543	0.0920569901339054
ARHGAP31	-2.21565681478806	4.51728484036342	10.9936362088738	0.00223318843990606	0.0920569901339054
TMLHE-AS1	1.55272719312341	6.98560088502644	10.9665787731375	0.00225769807622178	0.0925996567744832
RYBP	1.64897583994953	6.81129766589703	10.9490514567682	0.00227372858390487	0.0927908635091577
CLIC4	-2.17877726712735	5.11200053280804	10.8478516640239	0.00236870170919061	0.0961857878130039
SMOC1	-1.79834270617975	6.8906646134623	10.9642250315784	0.00240409875685256	0.0967206166041388
CACNA1H	-3.53096103507683	4.30920190181734	11.5387770155173	0.0024170747163845	0.0967206166041388
POF1B	2.43521256868857	4.38281072771158	10.7976093756965	0.0024174229094884	0.0967206166041388
AC093019.2	2.18799364752236	4.97222404132976	10.7804206654744	0.00243433672534969	0.0969222261088008
SLC19A3	-3.51805237628863	3.7047622183301	10.7502847379424	0.00246429736575714	0.0976388111616978
LINC02506	2.3451507205865	5.37580530145858	11.2271213217009	0.00247692393513547	0.0976640905933939
HDAC4	-1.49366893120785	7.2977497280993	10.7258629602673	0.00248886680267409	0.0976640905933939
