logFC	logCPM	F	PValue	FDR
GALNT16	-5.91511083494576	5.97135100864752	197.778921848539	1.45727006252262e-07	0.00123662825656653
GPC5	-5.21548072315151	10.438408067585	177.386445308582	2.36107218224489e-07	0.00123662825656653
AC011444.2	7.43654626586138	6.44688523530054	162.091871444326	3.51547879247569e-07	0.00123662825656653
IDH2	-3.5027501130608	6.61355261192392	135.067442125802	7.82115122473857e-07	0.00203346293832217
NELL1	-3.73068777420578	6.29360899100864	119.055077351899	1.35340482789181e-06	0.00203346293832217
ARHGAP42	4.05059904681817	7.18670827436965	116.337416810176	1.49555579777038e-06	0.00203346293832217
GP2	-6.5798144131891	6.58415804125094	119.944567441498	1.50152587213631e-06	0.00203346293832217
PTGER3	-3.66582102669752	7.69434403972467	113.859053255471	1.64130977037032e-06	0.00203346293832217
MGAT5	-2.96132361530925	7.97033265532885	112.414983270626	1.73421457830944e-06	0.00203346293832217
EGF	-5.41865622442141	7.72671395320734	112.693652072389	1.95795685876239e-06	0.00206623187305194
CABP1	-6.88993636974909	6.1836188225431	106.04804386903	2.53333591395726e-06	0.00227670771481497
EPB41L3	-3.03850897946956	6.91541069421969	101.248104835257	2.71824982654737e-06	0.00227670771481497
SLC9A3	-3.86753501252937	5.31876723928014	98.6115219369808	3.04282054586335e-06	0.00227670771481497
PHF21B	-4.42378373789807	5.935282807375	97.2104443130774	3.23445961332203e-06	0.00227670771481497
MYADM	6.17509964199229	5.21382734721163	97.1988554455338	3.23610496751867e-06	0.00227670771481497
ADAMTS17	-2.81685727417763	6.95287260982949	94.1101995957568	3.7133850971592e-06	0.00244920955814506
SLC22A3	-4.50626081483766	5.49384531274175	91.278117244916	4.22823678810285e-06	0.00251343897086596
KRT19	5.41993308809268	6.43753145378098	90.9811455845957	4.28711280920945e-06	0.00251343897086596
CELF2	4.26270470650798	6.68929506614363	87.8907450002395	4.96306233673244e-06	0.00266844676380982
AKAP12	6.69444192155563	8.97201546770937	92.788873414204	5.05722877629077e-06	0.00266844676380982
PDLIM1	4.16115486533555	5.66902468077486	85.3830632540749	5.60873419514499e-06	0.00278876229883963
BARX2	5.05816761634585	6.08517794210698	84.6593553502798	5.81377528422931e-06	0.00278876229883963
DIRC3	-3.78759424400395	6.27740111537842	83.3759440320077	6.20029267521994e-06	0.00280923814399831
