logFC	logCPM	F	PValue	FDR
SLC13A3	-5.72716168901963	8.36278688764745	119.32531525839	8.65274311893208e-07	0.00534133832731677
LINC00871	-5.78663418321202	7.32257080482876	84.2004678609547	4.12920666320085e-06	0.00899148943440521
SLC5A12	-5.4723142486033	5.89549162145204	80.0994798873095	5.14517002923374e-06	0.00899148943440521
RALYL	-4.06506789760031	7.35791357325607	77.8621231340399	5.82633366881918e-06	0.00899148943440521
DCC	-5.27839027553836	9.07000327751031	73.0160236695894	7.71428870594664e-06	0.00952406083636172
LINC01060	-5.01533237352327	6.72715385912616	68.9027320665314	9.92137246447617e-06	0.0102074387038686
SLC34A1	-8.05231534221323	6.72051978462332	60.8394145559949	1.69310791175283e-05	0.0117702429535477
EMP1	6.16697053058862	8.23011409328312	59.9352927024058	1.80456302190389e-05	0.0117702429535477
ZFPM2	3.77078377086997	6.89684536275175	58.9049926619114	1.94254700151824e-05	0.0117702429535477
FHL1	4.39908079117566	6.79120801906992	58.8579601752348	1.94914389980552e-05	0.0117702429535477
FAM129A	4.43207508336511	5.53098253028159	56.0632877994223	2.39455047813584e-05	0.0117702429535477
SLC47A2	-3.44345068968855	7.44170968098498	56.0605641455067	2.39504111570685e-05	0.0117702429535477
ST18	-6.33576679220692	5.14950446260188	54.6695143617903	2.66227037069797e-05	0.0117702429535477
PLEKHG2	-3.62918278053637	5.9981783775818	54.2795978619342	2.74353267454699e-05	0.0117702429535477
GCNT2	-2.60995980698835	7.86660326207981	52.8781415654406	3.06140436745319e-05	0.0117702429535477
NKAIN4	-3.827197171248	6.06450536580791	52.5892127892536	3.13235454134442e-05	0.0117702429535477
HMOX1	-3.89437246336412	5.80287256066762	52.1600333288586	3.24144063195061e-05	0.0117702429535477
VCAN	3.24021128392387	7.53471386194741	51.2964376098758	3.47515588785053e-05	0.0118329674885642
PAG1	3.92251488104602	6.32956114755649	50.0837256983306	3.83863685289596e-05	0.0118329674885642
ARHGEF10L	-2.43604184066649	8.12838026660665	48.9375396386603	4.22510436958932e-05	0.0118329674885642
AC007952.4	-3.89813241144031	6.68060482156724	48.8338434892119	4.26233213966263e-05	0.0118329674885642
