cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
3	SLPI	5.43434553094989e-98	1.29865868049323	0.988	0.825	9.37859351731333e-94
3	C1R	6.76133364931271e-94	0.724815232835993	0.695	0.212	1.16687096119839e-89
3	SAA1	5.50140547624515e-83	1.41813576690069	0.942	0.737	9.49432557090388e-79
3	LTF	6.78119313609055e-83	1.35020134577077	0.841	0.433	1.17029831142651e-78
3	C1S	1.1314239109779e-81	0.574574375320439	0.54	0.132	1.95261138556566e-77
3	SAA2	5.86862884468787e-78	1.49139077889025	0.899	0.638	1.01280796601623e-73
3	CLU	3.34184954580481e-73	0.892131794823872	1	0.925	5.76736394614994e-69
3	RPL34	6.39801398568025e-73	0.405944285907667	1	0.969	1.1041692536487e-68
3	C3	5.50496326660594e-72	0.776169999438862	0.945	0.679	9.50046560550852e-68
3	FTL	2.02655962578002e-64	0.614181688276203	1	0.944	3.49743660217115e-60
3	PFDN5	9.02774622893057e-61	0.420853778703843	0.994	0.91	1.55800844418884e-56
3	SOD2	1.92510599026826e-60	0.852374241009933	0.89	0.745	3.32234791800496e-56
3	IL4I1	1.99771095025745e-58	0.572304637402257	0.582	0.225	3.4476495579543e-54
3	SLC34A2	7.93500117413994e-58	0.657247194653475	0.912	0.635	1.36942250263307e-53
3	LCN2	9.23551773371425e-58	1.093804994738	0.936	0.722	1.59386565048441e-53
3	TSC22D1	6.03428748794174e-54	0.901133398941535	0.845	0.583	1.04139733466899e-49
3	VNN2	8.37511877365572e-53	0.290196836747503	0.305	0.057	1.4453779979575e-48
3	GMDS	2.97304392232523e-51	0.569997066084178	0.762	0.47	5.13087920114887e-47
3	ADAMTS1	1.91066299839318e-49	0.63928542861567	0.899	0.666	3.29742220262695e-45
3	FXYD2	7.29713110471623e-49	0.474297421698276	0.994	0.931	1.25933888605193e-44
3	SERPINA1	2.25557245311613e-46	0.823215344719043	0.89	0.695	3.89266693958782e-42
3	GPNMB	4.2300811724235e-45	0.556984423260768	0.695	0.391	7.30027408736848e-41
3	CHI3L2	3.40560783574266e-44	0.417633548801276	0.226	0.036	5.87739800292469e-40
3	NCOA7	4.13336845864443e-44	0.545952908752127	0.659	0.362	7.13336728592855e-40
3	RPL13	1.13768933517475e-43	0.285808609448916	0.997	0.99	1.96342425464458e-39
3	WFDC2	2.74986813290872e-43	0.494342955447115	1	0.938	4.74572242377386e-39
3	FTH1	9.22409272903136e-43	0.686439067849576	1	0.989	1.59189392317623e-38
3	PDZK1IP1	9.80596045084328e-43	0.515662384640203	0.988	0.915	1.69231265460653e-38
3	PIGR	5.74192900039186e-41	0.502502786480796	0.585	0.259	9.90942106887628e-37
3	IFITM3	3.93425347952748e-40	0.401781556050708	1	0.921	6.78973465496852e-36
3	TPT1	8.36409846949507e-40	0.282535730563373	1	0.963	1.44347611386546e-35
3	CP	2.62840724350878e-39	0.503672798803409	0.652	0.314	4.53610522084745e-35
3	ITM2C	7.68224421253176e-39	0.42142263344097	0.945	0.812	1.32580170619873e-34
3	TFPI	9.46243720476676e-39	0.532677701153747	0.832	0.666	1.63302741279865e-34
3	CLEC4E	3.56970410449557e-38	0.39013770950915	0.418	0.15	6.16059534353845e-34
3	RPL31	3.85934733496987e-38	0.30489335015758	1	0.962	6.660461630691e-34
3	RPL39	6.41942912441585e-38	0.33288919516193	1	0.953	1.10786507829169e-33
3	GYPC	3.59494658670077e-35	0.395727488049933	0.78	0.499	6.20415881932819e-31
3	C6orf48	7.88311129126258e-35	0.409198220376622	0.912	0.801	1.3604673466461e-30
3	LY6E	3.22051876258045e-33	0.451174339475956	0.936	0.801	5.55797128046134e-29
3	RPL12	6.03580062733035e-33	0.294983714843383	1	0.968	1.04165847226467e-28
3	FAU	8.0996310975001e-33	0.254521027172164	0.997	0.944	1.39783433480657e-28
3	VKORC1	2.84651201100048e-32	0.381789184963254	0.887	0.799	4.91251042858462e-28
3	BIRC3	1.19456884190896e-31	0.509440146511366	0.616	0.351	2.06158690736649e-27
3	TNFAIP2	1.5021700578705e-31	0.516917416159458	0.732	0.533	2.59244508587291e-27
3	MUC1	3.89403543308511e-31	0.382443183144756	0.945	0.797	6.72032635041828e-27
3	TMEM37	2.89940301468753e-30	0.430506290482092	0.744	0.517	5.00378972274774e-26
3	IFI27L2	3.64086319669487e-30	0.393197968211439	0.866	0.699	6.283401704856e-26
3	C9orf16	3.77060688544394e-30	0.408310812348101	0.951	0.836	6.50731336289916e-26
3	NEAT1	4.24058929384745e-30	0.311872614540354	0.991	0.95	7.31840900332194e-26
3	EEF2	8.97500996564194e-30	0.275558982724394	0.997	0.937	1.54890721987049e-25
3	LRG1	1.40857476559068e-29	0.304565223750312	0.405	0.167	2.4309183304564e-25
3	ANXA13	1.47785319028965e-29	0.27409539934743	0.226	0.056	2.55047903580188e-25
